INSTNM	lon	lat	State
Alabama A & M University	-86.56850689	34.78337457	AL
University of Alabama at Birmingham	-86.79934988	33.50570329	AL
Amridge University	-86.17401464	32.36261507	AL
University of Alabama in Huntsville	-86.6404539	34.72456355	AL
Alabama State University	-86.29568168	32.36432307	AL
University of Alabama System Office	-87.52959907	33.2070212	AL
The University of Alabama	-87.54577107	33.2144062	AL
Central Alabama Community College	-85.94653461	32.9244352	AL
Athens State University	-86.965145	34.80563155	AL
Auburn University at Montgomery	-86.17735564	32.36994507	AL
Auburn University	-85.48826246	32.59938415	AL
Birmingham Southern College	-86.85055689	33.51378029	AL
Chattahoochee Valley Community College	-85.03148932	32.42391612	AL
Concordia College Alabama	-87.02353589	32.42443605	AL
South University-Montgomery	-86.21649265	32.34269006	AL
Enterprise State Community College	-85.8369605	31.29750185	AL
James H Faulkner State Community College	-87.77976302	30.85205069	AL
Faulkner University	-86.21641466	32.38418707	AL
Gadsden State Community College	-85.99130368	33.99187243	AL
New Beginning College of Cosmetology	-86.19693575	34.27871648	AL
George C Wallace State Community College-Dothan	-85.46355439	31.31609187	AL
George C Wallace State Community College-Hanceville	-86.78193991	34.07244541	AL
George C Wallace State Community College-Selma	-87.01329888	32.44592306	AL
Herzing University-Birmingham	-86.83230389	33.46811128	AL
Huntingdon College	-86.28531767	32.35094506	AL
Heritage Christian University	-87.6620672	34.85909554	AL
J F Drake State Community and Technical College	-86.57382189	34.77212256	AL
J F Ingram State Technical College	-86.39237371	32.58231811	AL
Jacksonville State University	-85.7653256	33.8229444	AL
Jefferson Davis Community College	-87.08583384	31.10200076	AL
Jefferson State Community College	-86.70739186	33.65244533	AL
John C Calhoun State Community College	-86.94913599	34.65428652	AL
Judson College	-87.31613198	32.63053209	AL
Lawson State Community College-Birmingham Campus	-86.8902389	33.45167928	AL
University of West Alabama	-88.18633422	32.58813805	AL
Lurleen B Wallace Community College	-86.45226667	31.32295283	AL
Marion Military Institute	-87.32204598	32.62374008	AL
Miles College	-86.90860991	33.48131228	AL
University of Mobile	-88.12893912	30.79325266	AL
University of Montevallo	-86.86510388	33.1062562	AL
Northwest-Shoals Community College	-87.6773352	34.73957351	AL
University of North Alabama	-87.6813662	34.80674453	AL
Northeast Alabama Community College	-85.91166869	34.54547754	AL
Oakwood University	-86.65270991	34.75635056	AL
Alabama Southern Community College	-87.32635692	31.48893084	AL
Prince Institute-Southeast	-86.16224164	32.38311208	IL
Reid State Technical College	-86.96480182	31.46027085	AL
Bishop State Community College	-88.05698709	30.69397764	AL
Samford University	-86.79180388	33.46413428	AL
Selma University	-87.03383089	32.42036405	AL
Shelton State Community College	-87.56148507	33.12053718	AL
Snead State Community College	-86.16990174	34.20150146	AL
University of South Alabama	-88.17871613	30.69603864	AL
Spring Hill College	-88.13820411	30.69475664	AL
Southeastern Bible College	-86.74904986	33.37894127	AL
Stillman College	-87.58524708	33.1992342	AL
Talladega College	-86.11270868	33.4334783	AL
H Councill Trenholm State Community College	-86.34306169	32.35011506	AL
Troy University	-85.95709855	31.80067796	AL
Tuskegee University	-85.70849651	32.4309061	AL
United States Sports Academy	-87.91163505	30.63933463	AL
Bevill State Community College	-87.26641103	33.83693534	AL
University of Alaska Anchorage	-149.826213	61.19016465	AK
Alaska Bible College	-149.1119953	61.59855474	AK
University of Alaska Fairbanks	-147.823172	64.85756175	AK
University of Alaska Southeast	-134.6382756	58.38485018	AK
Alaska Pacific University	-149.804265	61.19123665	AK
AVTEC-Alaska's Institute of Technology	-149.4445953	60.11072878	AK
Charter College	-122.4947805	45.61780349	WA
Alaska Career College	-149.856977	61.18144465	AK
University of Alaska System of Higher Education	-147.848995	64.85751775	AK
Empire Beauty School-Tucson	-110.9271977	32.235662	AZ
Thunderbird School of Global Management	-112.1808721	33.62089214	AZ
American Indian College Inc	-112.092258	33.57774313	AZ
American Institute of Trucking	-112.175315	33.44226711	AZ
Carrington College-Phoenix North	-112.115557	33.56082613	AZ
Carrington College-Mesa	-111.853229	33.39248512	AZ
Carrington College-Tucson	-110.9829717	32.224005	AZ
CollegeAmerica-Flagstaff	-111.6576841	35.19450037	AZ
Arizona Academy of Beauty-East	-110.8723157	32.23725801	AZ
Arizona Automotive Institute	-112.157355	33.53725412	AZ
Brookline College-Phoenix	-112.112484	33.56610713	AZ
Arizona State University-Tempe	-111.934394	33.41772612	AZ
Arizona Western College	-114.4959794	32.68931089	AZ
University of Arizona	-110.9508257	32.232677	AZ
Southwest University of Visual Arts-Tucson	-110.9273317	32.25238901	AZ
Central Arizona College	-111.6525119	32.95709707	AZ
Brown Mackie College-Tucson	-110.8950967	32.23674101	AZ
Charles of Italy Beauty College	-114.3326975	34.47749013	AZ
Cochise County Community College District	-109.6904324	31.36576193	AZ
Empire Beauty School-Flagstaff	-111.6259471	35.19715638	AZ
Empire Beauty School-Chandler	-111.860434	33.34759111	AZ
Cortiva Institute-Tucson	-110.8567957	32.219015	AZ
Avalon School of Cosmetology-Mesa	-111.858316	33.37658812	AZ
Eastern Arizona College	-109.7623505	32.84366915	AZ
Embry-Riddle Aeronautical University-Prescott	-112.4497522	34.61677125	AZ
Frank Lloyd Wright School of Architecture	-111.843222	33.60205515	AZ
Glendale Community College	-112.1907461	33.57023113	AZ
Grand Canyon University	-112.129928	33.51217712	AZ
International Academy of Hair Design	-111.940082	33.38144512	AZ
Maricopa Community College System Office	-111.975797	33.41292012	AZ
GateWay Community College	-111.997088	33.44969112	AZ
Mesa Community College	-111.871266	33.39032812	AZ
ITT Technical Institute-Tucson	-110.9975117	32.29726601	AZ
ITT Technical Institute-Tempe	-111.96918	33.38036011	AZ
Mohave Community College	-114.0302555	35.27074224	AZ
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division	-112.121347	33.68443315	AZ
Dine College	-109.2168507	36.29333367	AZ
Northern Arizona University	-111.6537351	35.18845437	AZ
Northland Pioneer College	-110.1422097	34.93031543	AZ
Ottawa University-Phoenix	-112.113302	33.57172513	AZ
Phoenix College	-112.088304	33.48136612	AZ
Cortiva Institute-Scottsdale	-111.908444	33.46655913	AZ
Pima Community College	-110.8866697	32.22213	AZ
Pima Medical Institute-Tucson	-110.9213167	32.25045301	AZ
Pima Medical Institute-Albuquerque	-106.594471	35.10485565	NM
Prescott College	-112.4765202	34.54450524	AZ
Refrigeration School Inc	-111.989368	33.44869712	AZ
Rio Salado College	-111.975212	33.41314312	AZ
Roberto-Venn School of Luthiery	-112.086172	33.45489512	AZ
Hair Academy of Safford	-109.7277065	32.83530715	AZ
Scottsdale Community College	-111.885197	33.51135514	AZ
South Mountain Community College	-112.032646	33.38241111	AZ
Arizona Christian University	-112.026222	33.59512214	AZ
Tucson College	-110.8831917	32.222055	AZ
Universal Technical Institute of Arizona Inc	-112.2897041	33.45353811	AZ
Western International University	-111.965132	33.40244512	AZ
Empire Beauty School-NW Phoenix	-112.118179	33.53809813	AZ
Yavapai College	-112.4541672	34.54751724	AZ
University of Arkansas at Little Rock	-92.34184148	34.72665031	AR
University of Arkansas for Medical Sciences	-92.32005248	34.74905431	AR
ABC Beauty College Inc	-93.08083764	34.12018616	AR
Arkansas Baptist College	-92.29056147	34.73475731	AR
Arkansas Beauty School-Little Rock	-92.34331748	34.6720863	AR
Arkansas Beauty College	-93.13537573	35.27902638	AR
Lyon College	-91.62536036	35.77762554	AR
Arkansas College of Barbering and Hair Design	-92.26634246	34.75362731	AR
Arthur's Beauty College Inc-Fort Smith	-94.41097408	35.37996133	AR
University of Arkansas	-94.17698807	36.07001547	AR
University of Arkansas at Pine Bluff	-92.01868937	34.24403723	AR
Arkansas State University-Beebe	-91.89535739	35.07418239	AR
Arkansas State University-Main Campus	-90.67999411	35.8423946	AR
Arkansas Tech University	-93.13562673	35.29324338	AR
University of Arkansas at Monticello	-91.81115927	33.59091511	AR
Arthur's Beauty College Inc-Jacksonville	-92.10229043	34.89180635	AR
Baptist Health College-Little Rock	-92.4069265	34.7131213	AR
Black River Technical College	-90.95103921	36.23979966	AR
University of Central Arkansas	-92.45767854	35.07795137	AR
Central Baptist College	-92.44410854	35.08458037	AR
Cossatot Community College of the University of Arkansas	-94.36730698	34.04339508	AR
Crowley's Ridge College	-90.5848261	36.06624564	AR
Crowley's Ridge Technical Institute	-90.76732708	35.03982244	AR
East Arkansas Community College	-90.76773208	35.04166144	AR
Eastern College of Health Vocations-Little Rock	-92.34189749	34.75128631	AR
Imagine-Paul Mitchell Partner School	-92.22131046	34.79131232	AR
National Park College	-93.11711768	34.51273723	AR
University of Arkansas Community College-Batesville	-91.61585836	35.79292954	AR
Harding University	-91.72604735	35.24734344	AR
Henderson State University	-93.06031964	34.12779816	AR
Hendrix College	-92.44202754	35.09972637	AR
Hot Springs Beauty College	-93.03838766	34.49629323	AR
Jefferson Regional Medical Center School of Nursing	-92.01805136	34.18783722	AR
John Brown University	-94.56029018	36.18981847	AR
Lees School of Cosmetology	-92.29673548	34.78199932	AR
Career Academy of Hair Design	-94.13184106	36.16757649	AR
Academy of Salon and Spa	-94.41633408	35.38089733	AR
Arkansas State University Mid-South	-90.22285593	35.14574248	AR
Arkansas Northeastern College	-89.9210109	35.89860364	AR
Margaret's Hair Academy Inc	-91.78870627	33.62917512	AR
New Tyler Barber College Inc	-92.25417746	34.76009132	AR
North Arkansas College	-93.08844679	36.21991555	AR
Northwest Technical Institute	-94.11644006	36.17862349	AR
Ouachita Baptist University	-93.05244863	34.12505116	AR
College of the Ouachitas	-92.82142259	34.37875122	AR
Ozarka College	-91.89636146	36.05303758	AR
University of the Ozarks	-93.46793084	35.4777914	AR
University of Arkansas Community College-Morrilton	-92.72851362	35.17214237	AR
Philander Smith College	-92.28302147	34.73713731	AR
Phillips Community College of the University of Arkansas	-90.617751	34.54498235	AR
Southeast Arkansas College	-92.02594237	34.21031522	AR
Professional Cosmetology Education Center	-92.66410748	33.216038	AR
Pulaski Technical College	-92.29973548	34.78243632	AR
University of Arkansas Community College-Hope	-93.59676875	33.64167104	AR
Rich Mountain Community College	-94.21970697	34.59079919	AR
Paul Mitchell the School-Arkansas	-94.15419807	36.12681648	AR
Searcy Beauty College	-91.73454635	35.23772943	AR
Shorter College	-92.26133746	34.75933632	AR
Williams Baptist College	-90.9402832	36.12568264	AR
South Arkansas Community College	-92.66609348	33.209452	AR
Southern Arkansas University Main Campus	-93.23509363	33.29120099	AR
Southern Arkansas University Tech	-92.72163552	33.62837308	AR
University of Arkansas System Office	-92.34372049	34.77599532	AR
Velvatex College of Beauty Culture	-92.28976447	34.73573031	AR
University of Arkansas-Fort Smith	-94.37373607	35.38419034	AR
Academy of Art University	-122.4006992	37.78775295	CA
ITT Technical Institute-Rancho Cordova	-121.2815191	38.5917251	CA
Academy of Chinese Culture and Health Sciences	-122.2727462	37.80666696	CA
The Academy of Radio and TV Broadcasting	-117.9876781	33.72889983	CA
Avalon School of Cosmetology-Alameda	-122.2435792	37.76420796	CA
College of Alameda	-122.2792742	37.78239496	CA
Allan Hancock College	-120.4214986	34.94298382	CA
American Academy of Dramatic Arts-Los Angeles	-118.3441092	34.09531986	CA
American Baptist Seminary of the West	-122.2561622	37.86525696	CA
American Film Institute Conservatory	-118.3100012	34.10846486	CA
American Beauty College	-117.9369711	34.06937187	CA
American Career College-Los Angeles	-118.2922942	34.07924086	CA
American Conservatory Theater	-122.4049582	37.78733095	CA
American River College	-121.3460252	38.6497391	CA
Antelope Valley College	-118.1861782	34.67621193	CA
Art Center College of Design	-118.1869132	34.17084887	CA
Associated Technical College-Los Angeles	-118.2724422	34.05599186	CA
Associated Technical College-San Diego	-117.1582149	32.71566276	CA
Azusa Pacific University	-117.8879621	34.13086988	CA
Bakersfield College	-118.9735034	35.41080496	CA
Barstow Community College	-117.025242	34.87145602	CA
Bellus Academy-National City	-117.0902469	32.67676676	CA
Bethesda University	-117.9413351	33.84229985	CA
Biola University	-118.0173541	33.90482785	CA
Brooks Institute	-119.2945934	34.33795383	CA
Brownson Technical School	-117.9064211	33.81900485	CA
Bryan University	-118.3028942	34.06141085	CA
Butte College	-121.6447043	39.64912116	CA
Phillips Graduate University	-118.5677003	34.24200486	CA
California Institute of Integral Studies	-122.4165502	37.77477294	CA
Cabrillo College	-121.9279391	36.98910491	CA
California Baptist University	-117.425882	33.92857389	CA
California College of the Arts	-122.3994642	37.76748994	CA
University of California-Hastings College of Law	-122.4154082	37.78072295	CA
California Institute of Technology	-118.1257522	34.13927987	CA
California Lutheran University	-118.8794793	34.22555584	CA
California Polytechnic State University-San Luis Obispo	-120.6573237	35.29951784	CA
Alliant International University-San Diego	-117.0944099	32.89706079	CA
California State University-Bakersfield	-119.1047234	35.35000994	CA
California State University-Stanislaus	-120.8525239	37.52577504	CA
